record,filename_lr,lead,gap_seconds,trial,fs,signal_length,start_sample,end_sample,start_seconds,end_seconds,manifest_seed
00009_lr,records100/00000/00009_lr,II,0.25,0,100,1000,169,194,1.69,1.94,42
00009_lr,records100/00000/00009_lr,II,0.25,1,100,1000,700,725,7.0,7.25,42
00009_lr,records100/00000/00009_lr,II,0.25,2,100,1000,607,632,6.07,6.32,42
00009_lr,records100/00000/00009_lr,II,0.25,3,100,1000,440,465,4.4,4.65,42
00009_lr,records100/00000/00009_lr,II,0.25,4,100,1000,436,461,4.36,4.61,42
00009_lr,records100/00000/00009_lr,II,0.5,0,100,1000,744,794,7.44,7.94,42
00009_lr,records100/00000/00009_lr,II,0.5,1,100,1000,164,214,1.64,2.14,42
00009_lr,records100/00000/00009_lr,II,0.5,2,100,1000,623,673,6.23,6.73,42
00009_lr,records100/00000/00009_lr,II,0.5,3,100,1000,251,301,2.51,3.01,42
00009_lr,records100/00000/00009_lr,II,0.5,4,100,1000,170,220,1.7,2.2,42
00009_lr,records100/00000/00009_lr,II,1.0,0,100,1000,469,569,4.69,5.69,42
00009_lr,records100/00000/00009_lr,II,1.0,1,100,1000,783,883,7.83,8.83,42
00009_lr,records100/00000/00009_lr,II,1.0,2,100,1000,615,715,6.15,7.15,42
00009_lr,records100/00000/00009_lr,II,1.0,3,100,1000,633,733,6.33,7.33,42
00009_lr,records100/00000/00009_lr,II,1.0,4,100,1000,602,702,6.02,7.02,42
00009_lr,records100/00000/00009_lr,II,2.0,0,100,1000,572,772,5.72,7.72,42
00009_lr,records100/00000/00009_lr,II,2.0,1,100,1000,408,608,4.08,6.08,42
00009_lr,records100/00000/00009_lr,II,2.0,2,100,1000,176,376,1.76,3.76,42
00009_lr,records100/00000/00009_lr,II,2.0,3,100,1000,604,804,6.04,8.04,42
00009_lr,records100/00000/00009_lr,II,2.0,4,100,1000,370,570,3.7,5.7,42
00038_lr,records100/00000/00038_lr,II,0.25,0,100,1000,488,513,4.88,5.13,42
00038_lr,records100/00000/00038_lr,II,0.25,1,100,1000,387,412,3.87,4.12,42
00038_lr,records100/00000/00038_lr,II,0.25,2,100,1000,241,266,2.41,2.66,42
00038_lr,records100/00000/00038_lr,II,0.25,3,100,1000,819,844,8.19,8.44,42
00038_lr,records100/00000/00038_lr,II,0.25,4,100,1000,706,731,7.06,7.31,42
00038_lr,records100/00000/00038_lr,II,0.5,0,100,1000,583,633,5.83,6.33,42
00038_lr,records100/00000/00038_lr,II,0.5,1,100,1000,402,452,4.02,4.52,42
00038_lr,records100/00000/00038_lr,II,0.5,2,100,1000,717,767,7.17,7.67,42
00038_lr,records100/00000/00038_lr,II,0.5,3,100,1000,509,559,5.09,5.59,42
00038_lr,records100/00000/00038_lr,II,0.5,4,100,1000,433,483,4.33,4.83,42
